HGNC_approved_gene_symbol	HGNC_approved_gene_name	Pseudogene	UniProt_ID	Ensembl_ID	inSupplement	inQuickGO	dbTF_GO_annotation,_2019_(1347_genes)	Vaquerizas,_2009_(1536_genes)	TFCheckPoint,_Chawla,_2013_(1012_genes)	Saeed,_2014_(1572_genes)	Schmeier,_2017_(1750_genes)	TFClass,_Wingender,_2018_(1488_genes)	Lambert,_2018_(1630_TF_genes)	HumanTFDB,_Hu_et_al,_2019_(1637_genes)	Number_of_dbTF_lists	HT-SELEX,_Yin,_2017_(541_genes)_	PANTHER_family_ID	PANTHER_subfamily_ID	PANTHER_family_name
VAX2	ventral_anterior_homeobox_2		Q9UIW0	ENSG00000116035	1	1	VAX2	a	VAX2	VAX2	VAX2	3.1.2.22.2	VAX2	VAX2	7	VAX2	PTHR24339	SF34	VENTRAL_ANTERIOR_HOMEOBOX_2
VDR	vitamin_D_receptor		P11473	ENSG00000111424	1	1	VDR	a	VDR	VDR	VDR	2.1.2.4.1	VDR	VDR	7		PTHR24082	SF38	VITAMIN_D3_RECEPTOR
VENTX	VENT_homeobox		O95231	ENSG00000151650	1	1	VENTX	b	VENTX	VENTX	VENTX	3.1.2.23.1	VENTX	VENTX	7	VENTX	PTHR24327	SF29	HOMEOBOX_PROTEIN_VENTX
VEZF1	vascular_endothelial_zinc_finger_1		Q14119	ENSG00000136451	1	1	VEZF1	b	VEZF1	VEZF1	VEZF1	2.3.4.8.2	VEZF1	VEZF1	7		PTHR24379	SF75	VASCULAR_ENDOTHELIAL_ZINC_FINGER_1
VSX1	visual_system_homeobox_1		Q9NZR4	ENSG00000100987	1	1	VSX1	a		VSX1	VSX1	3.1.3.28.1	VSX1	VSX1	6	VSX1	PTHR24323	SF3	VISUAL_SYSTEM_HOMEOBOX_1
VSX2	visual_system_homeobox_2		P58304	ENSG00000119614	1	1	VSX2	a	VSX2	VSX2	VSX2	3.1.3.28.2	VSX2	VSX2	7	VSX2	PTHR46892	SF1	VISUAL_SYSTEM_HOMEOBOX_2
WIZ	WIZ_zinc_finger		O95785	ENSG00000011451	1	1	WIZ	b		WIZ	WIZ	2.3.4.0.4	WIZ	WIZ	6		PTHR24396	SF22	PROTEIN_WIZ
WT1	WT1_transcription_factor		P19544	ENSG00000184937	1	1	WT1	a	WT1	WT1	WT1	2.3.3.0.21	WT1	WT1	7		PTHR23235	SF49	WILMS_TUMOR_PROTEIN
XBP1	X-box_binding_protein_1		P17861	ENSG00000100219	1	1	XBP1	a	XBP1	XBP1	XBP1	1.1.5.0.1	XBP1	XBP1	7	XBP1	PTHR46542	SF3	X-BOX-BINDING_PROTEIN_1
YY1	YY1_transcription_factor		P25490	ENSG00000100811	1	1	YY1	a	YY1	YY1	YY1	2.3.3.9.1	YY1	YY1	7	YY1	PTHR14003	SF10	TRANSCRIPTION_FACTOR_YY2-RELATED
YY2	YY2_transcription_factor		O15391	ENSG00000230797	1	1	YY2	a	YY2	YY2	YY2	2.3.3.9.2	YY2	YY2	7	YY2	PTHR14003		
ZBED1	zinc_finger_BED-type_containing_1		O96006	ENSG00000214717	1	1	ZBED1	a	ZBED1	ZBED1	ZBED1	2.3.5.0.1	ZBED1	ZBED1	7	ZBED1	PTHR46169	SF2	ZINC_FINGER_BED_DOMAIN-CONTAINING_PROTEIN_1
ZBED2	zinc_finger_BED-type_containing_2		Q9BTP6	ENSG00000177494	1	1	ZBED2	c		ZBED2	ZBED2	2.3.5.0.2	ZBED2	ZBED2	6		PTHR35827	SF1	ZINC_FINGER_BED_DOMAIN-CONTAINING_PROTEIN_2
ZBED3	zinc_finger_BED-type_containing_3		Q96IU2	ENSG00000132846	1	1	ZBED3	c		ZBED3	ZBED3	2.3.5.0.3	ZBED3	ZBED3	6		PTHR35827	SF2	ZINC_FINGER_BED_DOMAIN-CONTAINING_PROTEIN_3
ZBED4	zinc_finger_BED-type_containing_4		O75132	ENSG00000100426	1	1	ZBED4	b		ZBED4	ZBED4	2.3.5.0.4	ZBED4	ZBED4	6		PTHR46481	SF1	ZINC_FINGER_BED_DOMAIN-CONTAINING_PROTEIN_4
ZBED6	zinc_finger_BED-type_containing_6		P86452	ENSG00000257315	1	1	ZBED6			ZBED6	ZBED6	2.3.5.0.6	ZBED6	ZBED6	5		PTHR47241	SF2	ZINC_FINGER_BED_DOMAIN-CONTAINING_PROTEIN_6
ZBTB1	zinc_finger_and_BTB_domain_containing_1		Q9Y2K1	ENSG00000126804	1	1		b	ZBTB1	ZBTB1	ZBTB1	2.3.4.6.1	ZBTB1	ZBTB1	7		PTHR24399	SF21	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_1
ZBTB10	zinc_finger_and_BTB_domain_containing_10		Q96DT7	ENSG00000205189	1	1		b	ZBTB10	ZBTB10	ZBTB10		ZBTB10	ZBTB10	6		PTHR24414	SF27	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_10
ZBTB11	zinc_finger_and_BTB_domain_containing_11		O95625	ENSG00000066422	1	1		b		ZBTB11	ZBTB11	2.3.3.0.124	ZBTB11	ZBTB11	6		PTHR24384	SF196	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_11
ZBTB12	zinc_finger_and_BTB_domain_containing_12		Q9Y330	ENSG00000204366	1	1	ZBTB12	b		ZBTB12	ZBTB12	2.3.3.11.3	ZBTB12	ZBTB12	6	ZBTB12	PTHR24399	SF38	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_12
ZBTB12BP	zinc_finger_and_BTB_domain_containing_12B,_pseudogene	pseudogene	pseudogene	ENSG00000180610	1	0		c							1				
ZBTB14	zinc_finger_and_BTB_domain_containing_14		O43829	ENSG00000198081	1	1	ZBTB14	a	ZBTB14	ZBTB14	ZBTB14	2.3.3.0.1	ZBTB14	ZBTB14	7	ZBTB14	PTHR24399	SF5	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_14
ZBTB16	zinc_finger_and_BTB_domain_containing_16		Q05516	ENSG00000109906	1	1	ZBTB16	b	ZBTB16	ZBTB16	ZBTB16	2.3.3.0.74	ZBTB16	ZBTB16	7		PTHR24393	SF60	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_16
ZBTB17	zinc_finger_and_BTB_domain_containing_17		Q13105	ENSG00000116809	1	1	ZBTB17	a	ZBTB17	ZBTB17	ZBTB17	2.3.4.0.72	ZBTB17	ZBTB17	7		PTHR24399	SF8	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_17
ZBTB18	zinc_finger_and_BTB_domain_containing_18		Q99592	ENSG00000179456	1	1	ZBTB18	a	ZBTB18	ZBTB18	ZBTB18	2.3.3.16.1	ZBTB18	ZBTB18	7	ZBTB18	PTHR24394	SF18	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_18
ZBTB2	zinc_finger_and_BTB_domain_containing_2		Q8N680	ENSG00000181472	1	1	ZBTB2	b	ZBTB2	ZBTB2	ZBTB2	2.3.4.6.2	ZBTB2	ZBTB2	7	ZBTB2	PTHR24399	SF0	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_2
ZBTB20	zinc_finger_and_BTB_domain_containing_20		Q9HC78	ENSG00000181722	1	1	ZBTB20	b	ZBTB20	ZBTB20	ZBTB20	2.3.3.14.1	ZBTB20	ZBTB20	7	ZBTB20	PTHR24399	SF19	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_20
ZBTB21	zinc_finger_and_BTB_domain_containing_21		Q9ULJ3	ENSG00000173276	1	1		b	ZBTB21	ZBTB21	ZBTB21	2.3.4.0.10	ZBTB21	ZBTB21	7		PTHR24408	SF18	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_21
ZBTB22	zinc_finger_and_BTB_domain_containing_22		O15209	ENSG00000236104	1	1	ZBTB22	b		ZBTB22	ZBTB22	2.3.2.1.6	ZBTB22	ZBTB22	6	ZBTB22	PTHR24414	SF4	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_22
ZBTB24	zinc_finger_and_BTB_domain_containing_24		O43167	ENSG00000112365	1	1	ZBTB24	b		ZBTB24	ZBTB24	2.3.3.0.55	ZBTB24	ZBTB24	6		PTHR24404	SF45	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_24
ZBTB25	zinc_finger_and_BTB_domain_containing_25		P24278	ENSG00000089775	1	1	ZBTB25	b		ZBTB25	ZBTB25	2.3.4.6.3	ZBTB25	ZBTB25	6		PTHR24399	SF28	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_25
ZBTB26	zinc_finger_and_BTB_domain_containing_26		Q9HCK0	ENSG00000171448	1	1	ZBTB26	b		ZBTB26	ZBTB26	2.3.3.11.2	ZBTB26	ZBTB26	6	ZBTB26	PTHR24399	SF14	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_26
ZBTB3	zinc_finger_and_BTB_domain_containing_3		Q9H5J0	ENSG00000185670	1	1		b		ZBTB3	ZBTB3		ZBTB3	ZBTB3	5		PTHR24394	SF19	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_3
ZBTB32	zinc_finger_and_BTB_domain_containing_32		Q9Y2Y4	ENSG00000011590	1	1	ZBTB32	b		ZBTB32	ZBTB32	2.3.2.1.7	ZBTB32	ZBTB32	6	ZBTB32	PTHR24399	SF40	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_32
ZBTB33	zinc_finger_and_BTB_domain_containing_33		Q86T24	ENSG00000177485	1	1	ZBTB33	a	ZBTB33	ZBTB33	ZBTB33	2.3.2.1.12	ZBTB33	ZBTB33	7	ZBTB33	PTHR24399	SF24	TRANSCRIPTIONAL_REGULATOR_KAISO
ZBTB34	zinc_finger_and_BTB_domain_containing_34		Q8NCN2	ENSG00000177125	1	1	ZBTB34	b		ZBTB34	ZBTB34	2.3.2.1.8	ZBTB34	ZBTB34	6		PTHR24399	SF42	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_34
ZBTB37	zinc_finger_and_BTB_domain_containing_37		Q5TC79	ENSG00000185278	1	1	ZBTB37	b		ZBTB37	ZBTB37	2.3.2.1.9	ZBTB37	ZBTB37	6	ZBTB37	PTHR24399	SF32	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_37
ZBTB38	zinc_finger_and_BTB_domain_containing_38		Q8NAP3	ENSG00000177311	1	1	ZBTB38	a		ZBTB38	ZBTB38	2.3.4.0.8	ZBTB38	ZBTB38	6		PTHR24388	SF71	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_38
ZBTB39	zinc_finger_and_BTB_domain_containing_39		O15060	ENSG00000166860	1	1		b		ZBTB39	ZBTB39	2.3.4.0.9	ZBTB39	ZBTB39	6		PTHR24399	SF34	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_39
ZBTB4	zinc_finger_and_BTB_domain_containing_4		Q9P1Z0	ENSG00000174282	1	1	ZBTB4	a	ZBTB4	ZBTB4	ZBTB4	2.3.4.0.7	ZBTB4	ZBTB4	7		PTHR24388	SF58	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_4
ZBTB40	zinc_finger_and_BTB_domain_containing_40		Q9NUA8	ENSG00000184677	1	1		b		ZBTB40	ZBTB40	2.3.3.0.123	ZBTB40	ZBTB40	6		PTHR24394	SF0	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_40
ZBTB41	zinc_finger_and_BTB_domain_containing_41		Q5SVQ8	ENSG00000177888	1	1		b		ZBTB41	ZBTB41	2.3.4.0.33	ZBTB41	ZBTB41	6		PTHR23226	SF240	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_41
ZBTB42	zinc_finger_and_BTB_domain_containing_42		B2RXF5	ENSG00000179627	1	1			ZBTB42	ZBTB42	ZBTB42	2.3.3.16.2	ZBTB42	ZBTB42	6		PTHR24394	SF20	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_42
ZBTB43	zinc_finger_and_BTB_domain_containing_43		O43298	ENSG00000169155	1	1	ZBTB43	b		ZBTB43	ZBTB43	2.3.2.1.10	ZBTB43	ZBTB43	6	ZBTB43	PTHR24414	SF43	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_43
ZBTB45	zinc_finger_and_BTB_domain_containing_45		Q96K62	ENSG00000119574	1	1	ZBTB45	b	ZBTB45	ZBTB45	ZBTB45	2.3.3.14.2	ZBTB45	ZBTB45	7	ZBTB45	PTHR24399	SF16	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_45
ZBTB46	zinc_finger_and_BTB_domain_containing_46		Q86UZ6	ENSG00000130584	1	1	ZBTB46	b		ZBTB46	ZBTB46	2.3.2.1.11	ZBTB46	ZBTB46	6		PTHR24414	SF63	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_46
ZBTB47	zinc_finger_and_BTB_domain_containing_47		Q9UFB7	ENSG00000114853	1	1		b		ZBTB47	ZBTB47	2.3.3.29.2	ZBTB47	ZBTB47	6		PTHR24394	SF24	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_47
ZBTB48	zinc_finger_and_BTB_domain_containing_48		P10074	ENSG00000204859	1	1	ZBTB48	a		ZBTB48	ZBTB48	2.3.3.0.102	ZBTB48	ZBTB48	6		PTHR24390	SF139	TELOMERE_ZINC_FINGER-ASSOCIATED_PROTEIN
ZBTB49	zinc_finger_and_BTB_domain_containing_49		Q6ZSB9	ENSG00000168826	1	1		b		ZBTB49	ZBTB49	2.3.3.0.38	ZBTB49	ZBTB49	6		PTHR24399	SF33	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_49
ZBTB5	zinc_finger_and_BTB_domain_containing_5		O15062	ENSG00000168795	1	1	ZBTB5	b	ZBTB5	ZBTB5	ZBTB5	2.3.2.1.1	ZBTB5	ZBTB5	7		PTHR24394	SF17	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_5
ZBTB6	zinc_finger_and_BTB_domain_containing_6		Q15916	ENSG00000186130	1	1	ZBTB6	b		ZBTB6	ZBTB6	2.3.3.11.1	ZBTB6	ZBTB6	6		PTHR24399	SF36	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_6
ZBTB7A	zinc_finger_and_BTB_domain_containing_7A		O95365	ENSG00000178951	1	1	ZBTB7A	a	ZBTB7A	ZBTB7A	ZBTB7A	2.3.3.8.1	ZBTB7A	ZBTB7A	7	ZBTB7A	PTHR24394	SF14	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_7A
ZBTB7B	zinc_finger_and_BTB_domain_containing_7B		O15156	ENSG00000160685	1	1	ZBTB7B	a	ZBTB7B	ZBTB7B	ZBTB7B	2.3.3.8.2	ZBTB7B	ZBTB7B	7	ZBTB7B	PTHR46105	SF4	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_7B
ZBTB7C	zinc_finger_and_BTB_domain_containing_7C		A1YPR0	ENSG00000184828	1	1		b		ZBTB7C	ZBTB7C	2.3.3.8.3	ZBTB7C	ZBTB7C	6		PTHR46105	SF7	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_7C
ZBTB8A	zinc_finger_and_BTB_domain_containing_8A		Q96BR9	ENSG00000160062	1	1		b		ZBTB8A	ZBTB8A		ZBTB8A	ZBTB8A	5		PTHR24414	SF25	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_8A
ZBTB8B	zinc_finger_and_BTB_domain_containing_8B		Q8NAP8	ENSG00000273274	1	1	ZBTB8B			ZBTB8B		2.3.2.1.2	ZBTB8B	ZBTB8B	4		PTHR24414	SF26	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_8B
ZBTB9	zinc_finger_and_BTB_domain_containing_9		Q96C00	ENSG00000213588	1	1		b		ZBTB9	ZBTB9		ZBTB9		4		PTHR24414	SF24	ZINC_FINGER_AND_BTB_DOMAIN-CONTAINING_PROTEIN_9
ZC3H8	zinc_finger_CCCH-type_containing_8		Q8N5P1	ENSG00000144161	1	1	ZC3H8		ZC3H8		ZC3H8	2.8.1.0.1	ZC3H8		4		PTHR13119	SF32	ZINC_FINGER_CCCH_DOMAIN-CONTAINING_PROTEIN_8
ZEB1	zinc_finger_E-box_binding_homeobox_1		P37275	ENSG00000148516	1	1	ZEB1	a	ZEB1	ZEB1	ZEB1	3.1.8.3.1	ZEB1	ZEB1	7		PTHR24391	SF17	ZINC_FINGER_E-BOX-BINDING_HOMEOBOX_1
ZEB2	zinc_finger_E-box_binding_homeobox_2		O60315	ENSG00000169554	1	1	ZEB2	a	ZEB2	ZEB2	ZEB2	3.1.8.3.2	ZEB2	ZEB2	7		PTHR24391	SF11	ZINC_FINGER_E-BOX-BINDING_HOMEOBOX_2
ZFAT	zinc_finger_and_AT-hook_domain_containing		Q9P243	ENSG00000066827	1	1	ZFAT	b	ZFAT	ZFAT	ZFAT	2.3.4.21.2	ZFAT	ZFAT	7		PTHR24388	SF73	ZINC_FINGER_PROTEIN_ZFAT
ZFHX2	zinc_finger_homeobox_2		Q9C0A1	ENSG00000136367	1	1	ZFHX2	b		ZFHX2	ZFHX2	3.1.8.4.1	ZFHX2	ZFHX2	6		PTHR45891	SF1	ZINC_FINGER_HOMEOBOX_PROTEIN_2
ZFHX3	zinc_finger_homeobox_3		Q15911	ENSG00000140836	1	1	ZFHX3	a	ZFHX3	ZFHX3	ZFHX3	3.1.8.4.2	ZFHX3	ZFHX3	7		PTHR45891	SF4	ZINC_FINGER_HOMEOBOX_PROTEIN_3
ZFHX4	zinc_finger_homeobox_4		Q86UP3	ENSG00000091656	1	1	ZFHX4	b		ZFHX4	ZFHX4	3.1.8.4.3	ZFHX4	ZFHX4	6		PTHR45891	SF2	ZINC_FINGER_HOMEOBOX_PROTEIN_4
ZFP1	ZFP1_zinc_finger_protein		Q6P2D0	ENSG00000184517	1	1		b	ZFP1	ZFP1	ZFP1	2.3.3.0.72	ZFP1	ZFP1	7	ZFP1	PTHR24377	SF248	ZINC_FINGER_PROTEIN_1_HOMOLOG
ZFP14	ZFP14_zinc_finger_protein		Q9HCL3	ENSG00000142065	1	1		b		ZFP14	ZFP14	2.3.3.63.3	ZFP14	ZFP14	6		PTHR24377	SF894	ZINC_FINGER_PROTEIN_14_HOMOLOG
ZFP2	ZFP2_zinc_finger_protein		Q6ZN57	ENSG00000198939	1	1		b		ZFP2	ZFP2	2.3.3.62.1	ZFP2	ZFP2	6		PTHR23226	SF299	ZINC_FINGER_PROTEIN_2_HOMOLOG
ZFP28	ZFP28_zinc_finger_protein		Q8NHY6	ENSG00000196867	1	1		b		ZFP28	ZFP28	2.3.3.0.192	ZFP28	ZFP28	6		PTHR24377	SF212	ZINC_FINGER_PROTEIN_28_HOMOLOG
ZFP3	ZFP3_zinc_finger_protein		Q96NJ6	ENSG00000180787	1	1	ZFP3	b		ZFP3	ZFP3	2.3.3.0.162	ZFP3	ZFP3	6		PTHR24381	SF272	ZINC_FINGER_PROTEIN_3_HOMOLOG
ZFP30	ZFP30_zinc_finger_protein		Q9Y2G7	ENSG00000120784	1	1		b		ZFP30	ZFP30	2.3.3.63.1	ZFP30	ZFP30	6		PTHR24377	SF246	ZINC_FINGER_PROTEIN_30_HOMOLOG
ZFP37	ZFP37_zinc_finger_protein		Q9Y6Q3	ENSG00000136866	1	1	ZFP37	b	ZFP37	ZFP37	ZFP37	2.3.3.69.3	ZFP37	ZFP37	7		PTHR24381	SF147	ZINC_FINGER_PROTEIN_37_HOMOLOG
ZFP41	ZFP41_zinc_finger_protein		Q8N8Y5	ENSG00000181638	1	1	ZFP41	b		ZFP41	ZFP41	2.3.3.0.17	ZFP41	ZFP41	6	ZFP41	PTHR24381	SF321	ZINC_FINGER_PROTEIN_41_HOMOLOG-RELATED
ZFP42	ZFP42_zinc_finger_protein		Q96MM3	ENSG00000179059	1	1	ZFP42	b	ZFP42	ZFP42	ZFP42	2.3.3.9.3	ZFP42	ZFP42	7	ZFP42	PTHR14003	SF8	ZINC_FINGER_PROTEIN_42_HOMOLOG
ZFP57	ZFP57_zinc_finger_protein		Q9NU63	ENSG00000204644	1	1		b		ZFP57	ZFP57	2.3.4.0.28	ZFP57	ZFP57	6		PTHR24381	SF277	ZINC_FINGER_PROTEIN_57_HOMOLOG
ZFP62	ZFP62_zinc_finger_protein		Q8NB50	ENSG00000196670	1	1		b		ZFP62	ZFP62	2.3.3.0.231	ZFP62	ZFP62	6		PTHR24376	SF77	ZINC_FINGER_PROTEIN_62_HOMOLOG
ZFP69	ZFP69_zinc_finger_protein		Q49AA0	ENSG00000187815	1	1	ZFP69	b	ZFP69	ZFP69	ZFP69	2.3.3.31.1	ZFP69	ZFP69	7		PTHR24381	SF74	ZINC_FINGER_PROTEIN_69_HOMOLOG
ZFP69B	ZFP69_zinc_finger_protein_B		Q9UJL9	ENSG00000187801	1	1	ZFP69B	b		ZFP69B	ZFP69B	2.3.3.31	ZFP69B	ZFP69B	6		PTHR24381	SF135	ZINC_FINGER_PROTEIN_69_HOMOLOG_B
ZFP82	ZFP82_zinc_finger_protein		Q8N141	ENSG00000181007	1	1		b		ZFP82	ZFP82	2.3.3.63.2	ZFP82	ZFP82	6		PTHR24377	SF734	ZINC_FINGER_PROTEIN_82_HOMOLOG
ZFP90	ZFP90_zinc_finger_protein		Q8TF47	ENSG00000184939	1	1	ZFP90		ZFP90	ZFP90	ZFP90	2.3.3.0.149	ZFP90	ZFP90	6		PTHR24381	SF143	ZINC_FINGER_PROTEIN_90_HOMOLOG
ZFP92	ZFP92_zinc_finger_protein		A6NM28	ENSG00000189420	1	1		c		ZFP92	ZFP92	2.3.3.0.57	ZFP92	ZFP92	6		PTHR24377	SF634	ZINC_FINGER_PROTEIN_92_HOMOLOG
ZFX	zinc_finger_protein_X-linked		P17010	ENSG00000005889	1	1	ZFX	a	ZFX	ZFX	ZFX	2.3.3.65.1	ZFX	ZFX	7		PTHR24406	SF6	ZINC_FINGER_X-CHROMOSOMAL_PROTEIN
ZFY	zinc_finger_protein_Y-linked		P08048	ENSG00000067646	1	1	ZFY	a	ZFY	ZFY	ZFY	2.3.3.65.1	ZFY	ZFY	7		PTHR24408	SF25	ZINC_FINGER_Y-CHROMOSOMAL_PROTEIN
ZGLP1	zinc_finger_GATA_like_protein_1		P0C6A0	ENSG00000220201	1	1	ZGLP1	a		ZGLP1	ZGLP1	2.2.1.2.8	ZGLP1	ZGLP1	6		PTHR47341	SF1	GATA-TYPE_ZINC_FINGER_PROTEIN_1
ZGPAT	zinc_finger_CCCH-type_and_G-patch_domain_containing		Q8N5A5	ENSG00000197114	1	1	ZGPAT		ZGPAT		ZGPAT	2.8.2.0.1	ZGPAT	ZGPAT	5		PTHR46297	SF1	ZINC_FINGER_CCCH-TYPE_WITH_G_PATCH_DOMAIN-CONTAINING_PROTEIN
ZHX1	zinc_fingers_and_homeoboxes_1		Q9UKY1	ENSG00000165156	1	1	ZHX1	a		ZHX1	ZHX1	3.1.8.5.1	ZHX1	ZHX1	6		PTHR15467	SF4	ZINC_FINGERS_AND_HOMEOBOXES_PROTEIN_1
ZHX2	zinc_fingers_and_homeoboxes_2		Q9Y6X8	ENSG00000178764	1	1	ZHX2	a	ZHX2	ZHX2	ZHX2	3.1.8.5.2	ZHX2	ZHX2	7		PTHR15467	SF5	ZINC_FINGERS_AND_HOMEOBOXES_PROTEIN_2
ZHX3	zinc_fingers_and_homeoboxes_3		Q9H4I2	ENSG00000174306	1	1	ZHX3	a	ZHX3	ZHX3	ZHX3	3.1.8.5.3	ZHX3	ZHX3	7		PTHR15467	SF6	ZINC_FINGERS_AND_HOMEOBOXES_PROTEIN_3
ZIC1	Zic_family_member_1		Q15915	ENSG00000152977	1	1	ZIC1	a	ZIC1	ZIC1	ZIC1	2.3.3.1.7	ZIC1	ZIC1	7	ZIC1	PTHR19818	SF141	ZINC_FINGER_PROTEIN_ZIC_1
ZIC2	Zic_family_member_2		O95409	ENSG00000043355	1	1	ZIC2	a	ZIC2	ZIC2	ZIC2	2.3.3.1.8	ZIC2	ZIC2	7		PTHR19818	SF27	ZINC_FINGER_PROTEIN_ZIC_2
ZIC3	Zic_family_member_3		O60481	ENSG00000156925	1	1	ZIC3	b	ZIC3	ZIC3	ZIC3	2.3.3.1.9	ZIC3	ZIC3	7	ZIC3	PTHR19818	SF25	ZINC_FINGER_PROTEIN_ZIC_3
ZIC4	Zic_family_member_4		Q8N9L1	ENSG00000174963	1	1	ZIC4	b	ZIC4	ZIC4	ZIC4	2.3.3.1.10	ZIC4	ZIC4	7	ZIC4	PTHR19818	SF91	ZINC_FINGER_PROTEIN_ZIC_4
ZIC5	Zic_family_member_5		Q96T25	ENSG00000139800	1	1	ZIC5	b	ZIC5	ZIC5	ZIC5	2.3.3.1.11	ZIC5	ZIC5	7	ZIC5	PTHR19818	SF69	ZINC_FINGER_PROTEIN_ZIC_5
ZIK1	zinc_finger_protein_interacting_with_K_protein_1		Q3SY52	ENSG00000171649	1	1		b		ZIK1	ZIK1	2.3.3.41.2	ZIK1	ZIK1	6		PTHR24377	SF688	ZINC_FINGER_PROTEIN_INTERACTING_WITH_RIBONUCLEOPROTEIN_K
ZIM2	zinc_finger_imprinted_2		Q9NZV7	ENSG00000269699	1	1	ZIM2	b		ZIM2	ZIM2	2.3.3.0.27	ZIM2	ZIM2	6		PTHR24381	SF352	ZINC_FINGER_IMPRINTED_2
ZIM3	zinc_finger_imprinted_3		Q96PE6	ENSG00000141946	1	1		b		ZIM3	ZIM3	2.3.3.0.104	ZIM3	ZIM3	6		PTHR24377	SF30	ZINC_FINGER_IMPRINTED_3
ZKSCAN1	zinc_finger_with_KRAB_and_SCAN_domains_1		P17029	ENSG00000106261	1	1	ZKSCAN1	b		ZKSCAN1	ZKSCAN1	2.3.3.10.6	ZKSCAN1	ZKSCAN1	6		PTHR23226	SF94	ZINC_FINGER_PROTEIN_WITH_KRAB_AND_SCAN_DOMAINS_1
ZKSCAN2	zinc_finger_with_KRAB_and_SCAN_domains_2		Q63HK3	ENSG00000155592	1	1	ZKSCAN2	b		ZKSCAN2	ZKSCAN2	2.3.3.19.3	ZKSCAN2	ZKSCAN2	6		PTHR23226	SF164	ZINC_FINGER_PROTEIN_WITH_KRAB_AND_SCAN_DOMAINS_2
ZKSCAN3	zinc_finger_with_KRAB_and_SCAN_domains_3		Q9BRR0	ENSG00000189298	1	1	ZKSCAN3	b	ZKSCAN3	ZKSCAN3	ZKSCAN3	2.3.3.26.1	ZKSCAN3	ZKSCAN3	7		PTHR23226	SF130	ZINC_FINGER_PROTEIN_WITH_KRAB_AND_SCAN_DOMAINS_3
ZKSCAN4	zinc_finger_with_KRAB_and_SCAN_domains_4		Q969J2	ENSG00000187626	1	1	ZKSCAN4	b		ZKSCAN4	ZKSCAN4	2.3.3.26.2	ZKSCAN4	ZKSCAN4	6		PTHR23226	SF67	ZINC_FINGER_PROTEIN_WITH_KRAB_AND_SCAN_DOMAINS_4
ZKSCAN5	zinc_finger_with_KRAB_and_SCAN_domains_5		Q9Y2L8	ENSG00000196652	1	1	ZKSCAN5	b	ZKSCAN5	ZKSCAN5	ZKSCAN5	2.3.3.0.24,2.3.4.0.42	ZKSCAN5	ZKSCAN5	7		PTHR24377	SF214	ZINC_FINGER_PROTEIN_WITH_KRAB_AND_SCAN_DOMAINS_5
